,Prediction,Buying Price
ABB,4,24.02
AFL,4,52.69
ALL,3,120.33
AME,1,99.82
APAM,3,34.47
ATGE,0,35.19
ATO,3,118.25
BMI,4,60.76
BOOT,3,41.75
BSX,4,43.1
BTU,4,7.05
CB,2,154.88
CCK,4,75.93
CDK,2,55.94
CERN,2,74.18
CG,3,33.33
CMG,3,881.9
CNXN,3,52.56
CPLP,4,12.32
CPRI,4,30.98
DIS,2,144.06
DTE,4,133.82
EGHT,4,19.88
ENR,2,49.94
ETH,5,16.1
F,4,9.16
FISV,3,124.33
FSV,3,100.86
GAIN,1,13.26
GHL,1,16.1
GILD,2,67.33
GL,2,107.1
GM,5,34.72
GPI,4,102.53
GTES,2,12.92
HIW,1,51.1
HUM,2,342.56
IPHI,4,80.28
JKHY,1,154.15
KLAC,1,177.4
KN,4,20.51
